cost_function,value,name,level,mode,episode,simulation_id
peak_demand,1.0412711623243636,District,district,train,7,alameda_resstock-amy2018-2021-release-1-534588
ramping,1.0156693162766155,District,district,train,7,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3397091234722585,District,district,train,7,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7815488686310191,resstock-amy2018-2021-release-1-534588,building,train,7,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3397091234722585,resstock-amy2018-2021-release-1-534588,building,train,7,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,7,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,7,alameda_resstock-amy2018-2021-release-1-534588
1 - load_factor,0.9825948917688434,District,district,train,8,alameda_resstock-amy2018-2021-release-1-534588
average_daily_peak,0.9495824960080296,District,district,train,8,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,8,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,8,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7765929117408743,District,district,train,8,alameda_resstock-amy2018-2021-release-1-534588
peak_demand,1.0,District,district,train,8,alameda_resstock-amy2018-2021-release-1-534588
ramping,0.9927516482548382,District,district,train,8,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3413603054051475,District,district,train,8,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7765929117408743,resstock-amy2018-2021-release-1-534588,building,train,8,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3413603054051475,resstock-amy2018-2021-release-1-534588,building,train,8,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,8,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,8,alameda_resstock-amy2018-2021-release-1-534588
1 - load_factor,0.9851184902151586,District,district,train,9,alameda_resstock-amy2018-2021-release-1-534588
